鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉和平西路121~150號,258.0,住,,,1070605,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,,66.89,2,1,1,有,無,9828000,146928,,0.0,0,,RPVOMLKLPHNFFAT37CA
九如鄉,土地,玉水段1051~1080地號,1168.0,,特定農業區,農牧用地,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,2226,,0.0,0,,RPTNMLQJPHNFFAT47CA
麟洛鄉,土地,麟仁段91~120地號,1110.1,農,,,1070615,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,3423,,0.0,0,,RPTNMLOJPHNFFAT27CA
長治鄉,土地,昌榮段931~960地號,2190.51,,一般農業區,農牧用地,1070626,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2709600,1237,,0.0,0,,RPVNMLOJPHNFFAT47CA
屏東巿,房地(土地+建物),屏東縣屏東市華盛街8巷31~60號,87.0,住,,,1070529,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0930609,195.97,4,2,3,有,無,8350000,42609,,0.0,0,,RPROMLOJPHNFFAT17CA
屏東巿,房地(土地+建物),屏東縣屏東市大同北路181~210號,21.32,住,,,1070612,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840613,110.35999999999999,3,2,2,有,有,2650000,24012,,0.0,0,,RPSOMLOJPHNFFAT27CA
屏東巿,房地(土地+建物),屏東縣屏東市棒球路160巷1~30號,24.16,住,,,1070529,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0800812,121.61000000000001,3,2,2,有,有,3220000,26478,,0.0,0,,RPUOMLOJPHNFFAT47CA
屏東巿,房地(土地+建物),屏東縣屏東市頂柳路175巷61~90號,251.1,,鄉村區,乙種建築用地,1070530,土地1建物1車位0,全,二層,透天厝,住宅,見其他登記事項,0820225,231.62,5,2,3,有,無,1797180,7759,,0.0,0,,RPSOMLNJPHNFFAT17CA
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉瑞源路211~240號,21.2,住,,,1070610,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850607,135.61,3,2,2,有,有,3700000,27284,升降機械,0.0,0,,RPVOMLNJPHNFFAT47CA
屏東巿,房地(土地+建物),屏東縣屏東市福建路31~60號,5.8,商,,,1070423,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821120,39.52,1,1,1,有,有,1050000,26569,,0.0,0,,RPWOMLOJPHNFFAT67CA
萬丹鄉,土地,新鐘段721~750地號,629.0,,鄉村區,乙種建築用地,1070611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7610900,12100,,0.0,0,,RPPNMLPJPHNFFAT96CA
萬丹鄉,土地,寶厝段331~360地號,709.0,農,,,1070601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,11989,,0.0,0,,RPQNMLPJPHNFFAT07CA
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉社皮路一段327巷1~30號,96.0,,鄉村區,乙種建築用地,1070619,土地2建物1車位0,全,三層,透天厝,住宅,鋼筋混凝土造,0820916,125.7,4,2,3,有,無,3250000,25855,,0.0,0,,RPRNMLPJPHNFFAT17CA
九如鄉,房地(土地+建物),屏東縣九如鄉東寧村東寧路193巷1~30號,90.51,住,,,1070626,土地1建物1車位0,全,二層,透天厝,住宅,加強磚造,0680606,85.2,4,2,2,有,無,2200000,25822,,0.0,0,,RPSNMLPJPHNFFAT27CA
屏東巿,房地(土地+建物),屏東縣屏東市大同北路181~210號,25.89,住,,,1070531,土地1建物1車位0,一層，二層，三層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0840613,154.58,4,2,3,有,有,4000000,25877,,0.0,0,,RPVNMLPJPHNFFAT57CA
屏東巿,土地,水源段一小段271~300地號,52.0,住,,,1070621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,28846,,0.0,0,,RPSNMLQJPHNFFAT37CA
屏東巿,房地(土地+建物),屏東縣屏東市廣興211~240號,74.27,,鄉村區,乙種建築用地,1070525,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,86.85,3,1,2,有,無,4700000,54116,,0.0,0,,RPXNMLTJPHNFFAT18CA
麟洛鄉,房地(土地+建物),屏東縣麟洛鄉麟蹄村民族路31~60號,118.37,住,,,1070621,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0690619,97.67,5,1,3,有,無,3800000,38907,,0.0,0,,RPVNMLQKPHNFFAT77CA
長治鄉,房地(土地+建物),屏東縣長治鄉和平二巷1~30號,150.0,,一般農業區,甲種建築用地,1070411,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0800114,95.6,6,2,2,有,無,5300000,55439,,0.0,0,,RPSOMLKKPHNFFAT96CA
屏東巿,土地,龍華段1111~1140地號,445.85,,鄉村區,乙種建築用地,1070525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8090000,18145,,0.0,0,,RPUOMLMKPHNFFAT37CA
