編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLKKPHNFFBC87CA,9,.59,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPSNMLKKPHNFFBC87CA,9,12.72,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPSNMLKKPHNFFBC87CA,9,8.65,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPSNMLKKPHNFFBC87CA,9,.02,住家用,鋼筋混凝土造,97年12月26日,六層,
RPSNMLKKPHNFFBC87CA,9,.76,共用部份,鋼筋混凝土造,97年12月26日,六層,
RPSNMLKKPHNFFBC87CA,9,.00,住家用,鋼筋混凝土造,98年2月9日,六層,
RPSNMLKKPHNFFBC87CA,9,.03,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPSNMLKKPHNFFBC87CA,9,.00,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPSNMLKKPHNFFBC87CA,9,.01,見其他登記事項,鋼筋混凝土造,98年2月9日,六層,
RPSNMLKKPHNFFBC87CA,9,.10,共用部份,鋼筋混凝土造,98年2月9日,六層,
RPRNMLLJQHNFFBC87CA,43,87.37,住家用,鋼筋混凝土加強磚造,64年1月31日,四層,四層
RPQOMLRLPHNFFBC58CA,19,92.47,住家用,鋼筋混凝土造,88年1月14日,十五層,十四層
RPQOMLRLPHNFFBC58CA,19,13.49,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPQOMLRLPHNFFBC58CA,19,5.18,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPQOMLRLPHNFFBC58CA,19,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQOMLRLPHNFFBC58CA,19,1.06,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXOMLTJPHNFFBC66CA,22,100.03,住家用,鋼筋混凝土造,85年3月9日,十四層,三層
RPOOMLTKPHNFFBC48CA,10,224.55,見其他登記事項,鋼筋混凝土造,97年5月21日,四層,一層 二層 三層 四層 見其他登記事項
RPXOMLTJPHNFFBC66CA,22,18.21,共用部份,鋼筋混凝土造,85年3月9日,十五層,
RPUNMLTJPHNFFCC98CA,24,97.76,住家用,鋼筋混凝土造,83年9月30日,五層,三層
RPUNMLTJPHNFFCC98CA,24,12.74,共用部份,鋼筋混凝土造,83年9月30日,五層,
RPTNMLTJPHNFFCC88CA,11,30.29,共用部份,鋼筋混凝土造,96年7月26日,九層,
RPTNMLTJPHNFFCC88CA,11,.03,共用部份,鋼筋混凝土造,96年7月26日,九層,
RPTNMLTJPHNFFCC88CA,11,.13,商業用,鋼筋混凝土造,96年7月26日,八層,
RPTNMLTJPHNFFCC88CA,11,99.95,住家用,鋼筋混凝土造,96年9月15日,七層,三層
RPTNMLTJPHNFFCC88CA,11,36.74,共用部份,鋼筋混凝土造,96年9月15日,七層,
RPWNMLTJPHNFFCC56CA,21,77.66,住家用,鋼筋混凝土造,86年7月18日,十二層,二層
RPQNMLKKPHNFFCC77CA,22,105.69,見其他登記事項,鋼筋混凝土造,85年7月5日,十六層,九層
RPWNMLTJPHNFFCC56CA,21,1.97,共用部份,鋼筋混凝土造,86年7月18日,四層,
RPQNMLKKPHNFFCC77CA,22,17.68,共用部份,鋼筋混凝土造,85年7月5日,十六層,
RPQNMLKKPHNFFCC77CA,22,16.87,共用部份,鋼筋混凝土造,85年7月5日,十六層,
RPWNMLTJPHNFFCC56CA,21,11.39,共用部份,鋼筋混凝土造,86年7月18日,十二層,
RPWNMLTJPHNFFCC56CA,21,10.94,共用部份,鋼筋混凝土造,86年7月18日,十二層,
RPQOMLTKPHNFFBC68CA,22,94.91,住家用,鋼筋混凝土造,85年5月21日,五層,一層
RPQOMLTKPHNFFBC68CA,22,2.66,共用部份,鋼筋混凝土造,85年5月21日,五層,
RPQOMLTKPHNFFBC68CA,22,5.68,共用部份,鋼筋混凝土造,85年5月21日,五層,
RPTNMLKKPHNFFCC08CA,32,87.30,住家用,鋼筋混凝土造,75年2月7日,五層,二層
RPTNMLKKPHNFFCC08CA,32,5.31,共用部份,鋼筋混凝土造,75年2月7日,五層,
RPTNMLKKPHNFFCC08CA,32,1.25,共用部份,鋼筋混凝土造,75年2月7日,五層,
RPOOMLNKPHNFFCC97CA,49,93.31,住家用,加強磚造,58年9月9日,二層,一層 二層
RPPNMLMKPHNFFCC87CA,24,20.02,住家用,鋼筋混凝土造,83年10月17日,十九層,十三層
RPPNMLMKPHNFFCC87CA,24,4.51,共用部份,鋼筋混凝土造,83年10月17日,十九層,
RPPNMLMKPHNFFCC87CA,24,20.02,住家用,鋼筋混凝土造,83年10月17日,十九層,十三層
RPPNMLMKPHNFFCC87CA,24,3.22,共用部份,鋼筋混凝土造,83年10月17日,十九層,
RPPNMLMKPHNFFCC87CA,24,4.51,共用部份,鋼筋混凝土造,83年10月17日,十九層,
RPPNMLMKPHNFFCC87CA,24,3.22,共用部份,鋼筋混凝土造,83年10月17日,十九層,
RPSNMLKMPHNFFCC38EA,23,86.87,住家用,鋼筋混凝土造,83年11月8日,五層,三層
RPSNMLKMPHNFFCC38EA,23,10.20,共用部份,鋼筋混凝土造,83年11月8日,五層,
RPSNMLKMPHNFFCC38EA,23,3.26,共用部份,鋼筋混凝土造,83年11月8日,五層,
RPSNMLLKPHNFFCC08CA,40,61.01,住家用,鋼筋混凝土造,67年8月29日,五層,四層
RPWNMLOLPHNFFCC88CA,5,60.26,見其他登記事項,鋼筋混凝土造,102年3月29日,十二層,三層
RPWNMLOLPHNFFCC88CA,5,25.46,見其他登記事項,鋼筋混凝土造,102年3月29日,十三層,
RPOOMLMKPHNFFCC87CA,7,92.33,見其他登記事項,鋼筋混凝土造,100年10月13日,九層,五層
RPOOMLMKPHNFFCC87CA,7,18.22,見其他登記事項,鋼筋混凝土造,100年10月13日,九層,
RPOOMLMKPHNFFCC87CA,7,11.28,見其他登記事項,鋼筋混凝土造,100年10月13日,九層,
RPOOMLNLPHNFFCC08CA,,15.87,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPXNMLNLPHNFFCC88CA,2,75.95,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,十五層
RPXNMLNLPHNFFCC88CA,2,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,
RPXNMLNLPHNFFCC88CA,2,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPXNMLNLPHNFFCC88CA,2,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPXNMLNLPHNFFCC88CA,2,.73,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPXNMLNLPHNFFCC88CA,2,46.91,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSOMLLMPHNFFCC38CA,20,71.63,住家用,鋼筋混凝土造,87年1月16日,八層,七層
RPSOMLLMPHNFFCC38CA,20,17.69,共用部份,鋼筋混凝土造,87年1月16日,八層,
RPSOMLLMPHNFFCC38CA,20,35.63,共用部份,鋼筋混凝土造,87年1月16日,八層,
RPVNMLNLPHNFFCC68CA,2,89.88,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,二十四層 二十五層
RPVNMLNLPHNFFCC68CA,2,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,
RPVNMLNLPHNFFCC68CA,2,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPVNMLNLPHNFFCC68CA,2,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPVNMLNLPHNFFCC68CA,2,.86,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPVNMLNLPHNFFCC68CA,2,52.59,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPWNMLNLPHNFFCC78CA,2,76.21,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,二十層
RPWNMLNLPHNFFCC78CA,2,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,
RPWNMLNLPHNFFCC78CA,2,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPWNMLNLPHNFFCC78CA,2,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPWNMLNLPHNFFCC78CA,2,.73,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPWNMLNLPHNFFCC78CA,2,44.60,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPXOMLNLPHNFFBC88CA,19,23.65,住家用,鋼筋混凝土造,88年1月14日,十六層,九層
RPXOMLNLPHNFFBC88CA,19,5.59,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXOMLNLPHNFFBC88CA,19,.29,共用部份,鋼筋混凝土造,88年1月14日,十六層,
