鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
南區,房地(土地+建物)+車位,臺中市南區福田二街1~30號,21.44,住,,,1070301,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051212,167.72,3,2,2,有,無,12650000,85238,坡道平面,33.4,1200000,,RPQRMLQLPHNFFAB58CA
西區,房地(土地+建物)+車位,臺中市西區公益路361~390號,15.12,住,,,1070501,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0891021,152.34,3,2,2,有,有,11700000,76802,坡道平面,12.81,0,,RPWNMLLMPHNFFAB38CA
西區,房地(土地+建物)+車位,臺中市西區中美街1~30號,31.43,住,,,1070601,土地3建物1車位2,十二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960521,309.51,4,2,2,有,有,27900000,90142,坡道平面,0.0,0,含裝修補貼,RPSNMLLJQHNFFAB77CA
北區,房地(土地+建物),臺中市北區學士路292巷26弄1~30號,53.0,住,,,1070501,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0590810,77.25,3,2,2,有,無,7500000,97087,,0.0,0,,RPTOMLQJPHNFFBB48CA
北區,房地(土地+建物)+車位,臺中市北區五常街361~390號,2.86,商,,,1070601,土地1建物1車位1,七層,十七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971128,43.2,1,1,1,有,有,3250000,75231,坡道機械,14.87,0,,RPWOMLQJPHNFFBB78CA
北屯區,房地(土地+建物)+車位,臺中市北屯區景和東街331~360號,18.6,住,,,1070501,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951226,142.92000000000002,3,2,2,有,有,7200000,50378,坡道平面,31.08,0,,RPPPMLQJPHNFFBB18CA
北屯區,房地(土地+建物),臺中市北屯區庄內巷1~30號,91.79,住,,,1070401,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0920321,197.43,6,2,3,有,無,16500000,83574,,0.0,0,,RPUNMLQJPHNFFBB48CA
北區,房地(土地+建物),臺中市北區漢口路四段181~210號,68.57,住,,,1070501,土地2建物2車位0,一層，騎樓,七層,店面(店鋪),商業用,鋼筋混凝土造,0790409,361.83,0,0,0,無,有,44300000,122433,,0.0,0,,RPXNMLQJPHNFFBB78CA
北屯區,土地,陳平段1~30地號,53.0,住,,,1070501,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,84906,,0.0,0,,RPQRMLQJPHNFFBB48CA
北區,車位,臺中市北區進化北路301~330號,0.26,商,,,1070501,土地0建物0車位1,,,其他,,,,15.94,0,0,0,有,有,450000,,坡道機械,15.94,450000,,RPVRMLQJPHNFFBB98CA
